,,Режиссер,Страна,Слоган,Маркетинг,Качество видео,Аудиодорожки,Директор фильма,Оператор,Премьера в мире,Художник,Сценарий,Премьера в Росcии,Релиз на Blu-ray,Монтаж,Сборы в США,Цифровой релиз,Зрители,Жанр,Релиз на DVD,Рейтинг MPAA,Продюсер,Композитор,Платформа,Время,Возраст,Год производства,Субтитры,Ре-релиз (РФ),Сборы в мире,Бюджет,Сборы в России,Название фильма
163,Null,Крис Коламбус,США,"«First, he was home alone, now he's lost in New York»",Null,Null,"Русский, Английский",Null,Хулио Макат,"15 ноября 1992, ...","Сэнди Венециано, Гари А. Ли, Джей Хёрли, ...",Джон Хьюз,"23 декабря 1994, «Екатеринбург Арт»","26 ноября 2009, «Двадцатый Век Фокс СНГ»",Раджа Госнелл,$173 585 516,Null,41.8 млн,"комедия, семейный, приключения","13 декабря 2005, «Гемини-Фильм»",PG,"Дункан Хендерсон, Джон Хьюз, Марк Рэдклифф, ...",Джон Уильямс,Null,119 мин. / 01:59,0+,1992,"Русские, Английские",Null,+ $185 409 334 = $358 994 850,$18 000 000,Null,"['Один дома 2: Затерянный в Нью-Йорке (1992)', 'Home Alone 2: Lost in New York0+']"
164,Null,Тед Мелфи,США,«У гениальности нет расы. У силы нет пола. У мужества нет границ»,Null,Null,"Русский (CPIG), Русский 5.1 (CPIG), Английский, Английский 5.1",Null,Мэнди Уокер,"1 декабря 2016, ...","Винн Томас, Джереми Вулси, Рени Эрлих Калфус, ...","Эллисон Шредер, Тед Мелфи, Марго Ли Шеттерли","16 марта 2017, «Двадцатый Век Фокс СНГ»",Null,Питер Тешнер,$169 607 287,"12 апреля 2017, «Двадцатый Век Фокс СНГ»",Null,"драма, биография, история",Null,PG,"Питер Чернин, Ямал Дэниэл, Донна Джильотти, ...","Бенджамин Уоллфиш, Фаррелл Уильямс, Ханс Циммер",Null,127 мин. / 02:07,12+,2016,"Русские, Английские",Null,+ $66 349 611 = $235 956 898,$25 000 000,$220 312,"['Скрытые фигуры (2016)', 'Hidden Figures12+']"
165,Null,Квентин Тарантино,США,«Без хорошей причины сюда не лезут»,Null,Null,Null,Null,Роберт Ричардсон,"7 декабря 2015, ...","Ёхэй Танэда, Бенжамин Эдельберг, Ричард Л. Джонсон, ...",Квентин Тарантино,"14 января 2016, «Централ Партнершип»","16 мая 2016, «НД Плэй»",Фред Раскин,$54 117 416,"31 марта 2016, «Централ Партнершип»",Null,"вестерн, криминал, триллер, драма, детектив","16 мая 2016, «НД Плэй»",R,"Ричард Н. Гладштейн, Шеннон МакИнтош, Стейси Шер, ...",Эннио Морриконе,Null,168 мин. / 02:48,18+,2015,Null,Null,+ $101 642 701 = $155 760 117,$44 000 000,$6 307 477,"['Омерзительная восьмерка (2015)', 'The Hateful Eight18+']"
166,Null,Юрий Озеров,СССР,—,Null,Null,Русский,Лидия Канарейкина,Игорь Слабневич,"5 ноября 1971, ...","Александр Мягков, Диляра Озерова","Юрий Бондарев, Оскар Курганов, Юрий Озеров","5 мая 2022, «МВК»",Null,Екатерина Карпова,Null,Null,28 млн,военный,"2 сентября 2008, «Lizard Cinema Trade»",Null,Null,Юрий Левитин,Null,75 мин. / 01:15,16+,1971,Нет,Null,Null,Null,$6 300,"['Освобождение: Последний штурм (1971)', '16+']"
167,Null,Наоко Ямада,Япония,«Sometimes the answer is as simple as learning to listen...»,Null,Null,Null,Null,Кадзуя Такао,"17 сентября 2016, ...",Муцуо Синохара,"Ёситоки Оима, Рэйко Ёсида, Киёси Сигэмацу",Null,Null,Кэнго Сигэмура,$310 407,"5 мая 2020, «Вольга»",9 тыс,"аниме, мультфильм, драма, мелодрама",Null,Null,"Тосио Иидзука, Синъити Накамура, Нагахару Охаси, ...",Кэнсукэ Усио,Null,130 мин. / 02:10,12+,2016,Null,Null,+ $29 846 056 = $30 156 463,Null,Null,"['Форма голоса (2016)', 'Koe no katachi12+']"
168,Null,Роберт Земекис,США,"«At the edge of the world, his journey begins»",$23 500 000,Null,"Русский, Английский, Английский 5.1",Null,Дон Бёрджесс,"7 декабря 2000, ...","Рик Картер, Стефан Дешан, Элизабет Лэпп, ...",Уильям Бройлес мл.,"25 января 2001, «Ист-Вест»",Null,Артур Шмидт,$233 632 142,Null,42.9 млн,"драма, мелодрама, приключения","25 декабря 2001, «Premier Digital»",PG-13,"Том Хэнкс, Джек Рэпк, Стив Старки, ...",Алан Сильвестри,Null,143 мин. / 02:23,12+,2000,Русские,Null,+ $196 000 000 = $429 632 142,$90 000 000,Null,"['Изгой (2000)', 'Cast Away12+']"
169,Null,Леонид Гайдай,СССР,—,Null,Null,Русский,Эрик Вайсберг,Сергей Полуянов,"23 октября 1975, ...","Евгений Куманьков, Т. Абидова, Александра Збарская","Владлен Бахнов, Леонид Гайдай, Михаил Зощенко",Null,Null,Людмила Фейгинова,Null,Null,46.9 млн,"мелодрама, комедия","11 января 2011, «Парадиз»",Null,Null,Александр Зацепин,Null,92 мин. / 01:32,12+,1975,Нет,Null,Null,Null,Null,"['Не может быть! (1975)', '12+']"
170,Null,Саймон Уэллс,"США, Великобритания",«Part Dog. Part Wolf. All Hero»,Null,Null,Русский,Null,Null,"22 декабря 1995, ...","Ханс Бахер, Эллен Люттер","Дэвид Стивен Коэн, Роджер С.Х. Шульман, Клифф Руби, ...",Null,Null,Null,$11 348 324,Null,2.6 млн,"мультфильм, драма, приключения, семейный, история","13 ноября 2003, «Premier Digital»",G,"Рич Эронс, Кэтлин Кеннеди, Бонн Редфорд, ...",Джеймс Хорнер,Null,71 мин. / 01:11,6+,1995,Нет,Null,Null,Null,Null,"['Балто (1995)', 'Balto6+']"
171,Null,"Дон Холл, Крис Уильямс",США,"«От создателей фильма ""Холодное сердце""»",Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1, Казахский",Null,Роб Дрессель,"23 октября 2014, ...","Пол А. Феликс, Скотт Ватанабэ","Джордан Робертс, Роберт Л. Бейрд, Дэниел Герсон, ...","25 октября 2014, «WDSSPR»","3 марта 2015, «Уолт Дисней Компани СНГ»",Тим Мертенс,$222 527 828,Null,5.3 млн,"мультфильм, фантастика, комедия, семейный, боевик","3 марта 2015, «Уолт Дисней Компани СНГ»",PG,"Рой Конли, Джон Лассетер, Кристина Рид, ...",Генри Джекман,Null,105 мин. / 01:45,6+,2014,"Русские, Английские",Null,+ $435 300 000 = $657 827 828,$165 000 000,$21 605 252,"['Город героев (2014)', 'Big Hero 66+']"
172,Null,Лассе Халльстрём,"США, Индия",«Every dog happens for a reason»,Null,Null,"Русский, Русский 5.1",Null,Терри Стэйси,"19 января 2017, ...","Майкл Карлин, Режан Лябри, Ларри Спиттл, ...","Катрин Мишон, Одри Уэллс, Майя Форбс, ...","30 марта 2017, «UPI»",Null,Роберт Лейтон,$64 508 620,"25 мая 2017, «Universal»",Null,"фэнтези, драма, комедия, приключения, семейный",Null,PG,"Холли Барио, Алан С. Бломквист, Лесли Освальд, ...",Рэйчел Портман,Null,100 мин. / 01:40,6+,2017,Нет,Null,+ $140 527 199 = $205 035 819,$22 000 000,$1 922 228,"['Собачья жизнь (2017)', ""A Dog's Purpose6+""]"
173,Null,Дэвид Йейтс,"Великобритания, США",«Секрет темных сил раскрыт»,Null,Null,"Русский, Русский 5.1, Английский",Null,Брюно Дельбоннель,"15 июля 2009, ...","Стюарт Крэйг, Эндрю Эклэнд-Сноу, Аластер Баллок, ...","Стивен Кловз, Дж.К. Роулинг","16 июля 2009, «Каро-Премьер»","17 ноября 2009, «Юниверсал Пикчерс Рус»",Марк Дэй,$301 959 197,Null,40.3 млн,"фэнтези, приключения, семейный","17 ноября 2009, «Юниверсал Пикчерс Рус»",PG,"Дэвид Баррон, Дэвид Хейман, Тим Льюис, ...",Николас Хупер,Null,153 мин. / 02:33,12+,2009,Русские,Null,+ $632 000 000 = $933 959 197,$250 000 000,$18 753 368,"['Гарри Поттер и Принц-полукровка (2009)', 'Harry Potter and the Half-Blood Prince12+']"
174,Null,Георгий Данелия,СССР,—,Null,Null,Русский,Валерий Гандрабура,Анатолий Петрицкий,"27 марта 1978, ...","Борис Немечек, Элеонора Немечек, Ольга Кручинина","Реваз Габриадзе, Виктория Токарева, Георгий Данелия",Null,Null,Татьяна Егорычева,Null,Null,24.4 млн,"драма, комедия","11 января 2011, «Парадиз»",PG,Null,Гия Канчели,Null,92 мин. / 01:32,16+,1977,Нет,Null,Null,Null,Null,"['Мимино (1977)', '16+']"
175,Null,"Вольфганг Райтерман, Дэвид Хэнд",США,«The way it REALLY happened...»,Null,Null,"Русский, Английский, Английский 5.1",Null,Null,"8 ноября 1973, ...","Al Dempster, Дон Гриффит","Ларри Клеммонс, Кен Андерсон, Вэнс Джерри, ...",Null,"9 июня 2015, «Уолт Дисней Компани СНГ»","Том Акоста, Джеймс Мелтон",$32 056 467,Null,6.5 млн,"мультфильм, мюзикл, мелодрама, комедия, приключения, семейный","3 августа 2009, «CP-Digital»",G,Вольфганг Райтерман,Джордж Брунс,Null,83 мин. / 01:23,6+,1973,Нет,Null,Null,$15 000 000,Null,"['Робин Гуд (1973)', 'Robin Hood6+']"
176,Null,Флориан Хенкель фон Доннерсмарк,"Германия, Франция",«У вас нет права хранить молчание»,Null,Null,"Русский, Немецкий",Null,Хаген Богданский,"15 марта 2006, ...","Силке Бур, Кристиана Рот, Габриэль Биндер, ...",Флориан Хенкель фон Доннерсмарк,"19 июля 2007, «Фокс/Гемини»",Null,Патриция Роммель,$11 286 112,Null,2.3 млн,"триллер, драма, детектив","7 июля 2009, «Первая Видеокомпания»",R,"Квирин Берг, Макс Видеман, Клаудия Гладзижевски, ...","Стефан Муча, Габриэль Яред",Null,137 мин. / 02:17,16+,2006,"Русские, Немецкие",Null,+ $66 070 830 = $77 356 942,$2 000 000,$297 700,"['Жизнь других (2006)', 'Das Leben der Anderen16+']"
